D:\weblikefood\src\components\admin\ProductImport.tsx: line 49, col 52, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 53, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 58, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 62, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 65, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 86, col 39, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 125, col 8, Warning - React Hook useCallback has a missing dependency: 'processFile'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 150, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 164, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 183, col 22, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductQuickEdit.tsx: line 9, col 20, Warning - 'useCallback' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductQuickEdit.tsx: line 89, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductQuickEdit.tsx: line 96, col 55, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 13, col 13, Warning - 'Filter' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 13, col 21, Warning - 'MoreVertical' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 15, col 43, Warning - 'Download' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 15, col 53, Warning - 'Upload' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 16, col 23, Warning - 'Zap' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 16, col 28, Warning - 'Gift' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 136, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 151, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 166, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 213, col 76, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductTable.tsx: line 226, col 70, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\auth\TurnstileWidget.tsx: line 10, col 39, Warning - 'useCallback' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\cart\AbandonedCartTracker.tsx: line 19, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\cart\CartItemList.tsx: line 13, col 10, Warning - 'formatPrice' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\cart\CartItemList.tsx: line 59, col 13, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\cart\CouponSection.tsx: line 41, col 16, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\cart\SavedItemsList.tsx: line 38, col 16, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\CheckoutFormSaaS.tsx: line 20, col 15, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\checkout\CheckoutFormSaaS.tsx: line 24, col 5, Warning - 'step' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\OrderSuccess.tsx: line 26, col 27, Warning - 'paymentMethod' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\OrderSummarySaaS.tsx: line 19, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\checkout\OrderSummarySaaS.tsx: line 25, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\checkout\OrderSummarySaaS.tsx: line 42, col 5, Warning - 't' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\OrderSummarySaaS.tsx: line 49, col 11, Warning - 'isLightBlue' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\ShippingForm.tsx: line 85, col 5, Warning - 'showVoucherModal' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherAndPoints.tsx: line 12, col 10, Warning - 'formatPrice' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherAndPoints.tsx: line 16, col 8, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
